date	price
1527358968944	7556.8
1527358981885	7556.8
1527358986036	7556.7
1527358986038	7556.7
1527358989140	7554.4
1527358989205	7554.4
1527358989283	7554.4
1527358989363	7554.4
1527358989437	7554.4
1527358989528	7552.6
1527358991558	7552.6
1527359003753	7552.6
1527359003755	7552.6
1527359003757	7552.6
1527359005205	7550.1
1527359005843	7550
1527359016347	7550.1
1527359017639	7550.1
1527359062458	7550.1
1527359062460	7550.1
1527359083658	7550.1
1527359117930	7550.1
1527359137402	7550.1
1527359138713	7550.1
1527359144192	7550.1
1527359148520	7550
1527359182353	7550
1527359207628	7550
1527359213318	7550.1
1527359222449	7550.1
1527359223026	7550.1
1527359231021	7550.1
1527359266364	7550
1527359266366	7550
1527359273151	7550.1
1527359273153	7550.1
1527359273155	7550.1
1527359273775	7550.9
1527359273778	7550.4
1527359276825	7550
1527359322098	7550.1
1527359322101	7550
1527359334390	7550.1
1527359342526	7550
1527359355037	7550.2
1527359355039	7550.1
1527359408761	7552.8
1527359408765	7554.9
1527359408767	7555.5
1527359408770	7555.6
1527359408773	7555.8
1527359408775	7556.3
1527359421321	7550.8
1527359426366	7550.1
1527359444364	7550.9
1527359452966	7551
1527359469902	7550.6
1527359471395	7551
1527359499613	7550.5
1527359509901	7550.4
1527359509903	7550.6
1527359541262	7551.2
1527359547157	7551.3
1527359553050	7551.1
1527359562164	7551.6
1527359562687	7551.6
1527359569783	7551.5
1527359573936	7552.7
1527359574940	7552.7
1527359574961	7552.7
1527359576604	7551.4
1527359577115	7552.4
1527359578359	7551.5
1527359578410	7551.5
1527359579752	7552.7
1527359579754	7553.4
1527359579774	7551.6
1527359579918	7551.6
1527359580370	7551.6
1527359580380	7551.6
1527359580383	7551.6
1527359580387	7551.6
1527359580625	7553.4
1527359580628	7555.9
1527359582199	7551.7
1527359582229	7555.9
1527359582231	7555.9
1527359582260	7555.9
1527359582301	7555.9
1527359582447	7555.72769142
1527359582457	7555.72769142
1527359583089	7551.7
1527359583367	7551.7
1527359583387	7551.7
1527359583531	7551.7
1527359584033	7555.4
1527359584036	7555.9
1527359585546	7551.9
1527359589305	7551.7
1527359589308	7551.7
1527359620158	7553.8
1527359620162	7553.8
1527359637127	7553.8
1527359653164	7553.8
1527359668614	7553.8
1527359679819	7553.8
1527359679908	7553.8
1527359683573	7553.8
1527359683659	7553.8
1527359706294	7553.8
1527359706296	7554.9
1527359722541	7554
1527359722543	7554
1527359722544	7554
1527359722547	7554.7
1527359729303	7554
1527359789186	7554
1527359789188	7555.4
1527359809241	7554
1527359809314	7554
1527359827420	7553.9
1527359827423	7553.9
1527359827425	7553.9
1527359827428	7553.8
1527359852326	7553.8
1527359908835	7553.8
1527359912176	7553.7
1527359914370	7550.4
1527359914373	7550.3
1527359914376	7550
1527359914379	7550
1527359917694	7550
1527359918240	7550
1527359918261	7550
1527359918282	7550
1527359918302	7550
1527359918746	7550
1527359918749	7548.6
1527359918765	7546.2
1527359918767	7546.2
1527359918769	7545.6
1527359918771	7545
1527359918774	7543.3
1527359918777	7542.9
1527359918779	7542.8
1527359918782	7542.8
1527359918784	7542.7
1527359918786	7542.6
1527359918788	7542.6
1527359918790	7541.7
1527359918798	7540.6
1527359918801	7540.3
1527359918804	7540.16171073
1527359918807	7540
1527359918809	7540
1527359918811	7539.2
1527359918813	7538
1527359918817	7537.9
1527359918819	7537.6
1527359918822	7537.5
1527359918824	7537.2
1527359918826	7536.4
1527359918837	7536.39458433
1527359918840	7536.2
1527359918843	7536.01243111
1527359918851	7535.3
1527359918857	7535.3
1527359919176	7543.3
1527359919265	7543.3
1527359919267	7543.3
1527359919296	7543.3
1527359919379	7543.3
1527359919453	7543.3
1527359919547	7540.09547319
1527359921279	7542.8
1527359922858	7542.7
1527359922859	7542.7
1527359922862	7542.7
1527359923964	7541.2
1527359923966	7541.2
1527359926458	7540.3
1527359927102	7538.7
1527359927704	7537.1
1527359927995	7537.1
1527359928182	7537.1
1527359929100	7537.1
1527359929183	7537.1
1527359929503	7537
1527359932714	7537.1
1527359938806	7537
1527359938808	7537
1527359938810	7536.9
1527359938812	7536.5
1527359938827	7535.1
1527359938830	7535.1
1527359938832	7533.9
1527359938834	7533.8
1527359938836	7533.8
1527359938839	7533.7
1527359938842	7533.65298057
1527359938845	7532.9
1527359938847	7532.5
1527359938849	7532.2
1527359938851	7532.1
1527359938853	7532
1527359938856	7531.6
1527359938858	7531.4
1527359938859	7531.4
1527359938862	7530.3
1527359938865	7530.3
1527359938867	7530.1
1527359938870	7530
1527359938873	7530
1527359938876	7529.12958876
1527359938880	7529.1
1527359938882	7528.7
1527359938885	7528
1527359938888	7527.6
1527359938891	7527.2
1527359938894	7527.2
1527359938896	7527.1
1527359938898	7526.7
1527359938900	7526.3
1527359938903	7526.3
1527359939274	7533.7
1527359939294	7533.7
1527359939315	7533.7
1527359939317	7533.7
1527359939336	7533.7
1527359939356	7533.7
1527359939367	7533.7
1527359939369	7533.7
1527359939387	7533.7
1527359939390	7533.7
1527359939408	7533.7
1527359939410	7533.7
1527359939438	7533.1
1527359939552	7533.1
1527359939554	7534
1527359939594	7534
1527359941480	7534.2
1527359941893	7534.1
1527359943073	7534
1527359946379	7534.1
1527359946821	7534.1
1527359946893	7534.1
1527359946896	7534.1
1527359949585	7534
1527359949616	7534
1527359949646	7534
1527359952253	7534
1527359954893	7534
1527359959961	7534.1
1527359960197	7534
1527359960228	7534
1527359960249	7534
1527359960269	7534
1527359971136	7534
1527359971137	7534
1527359971142	7534
1527359971144	7534
1527359971146	7534
1527359971161	7533.4
1527359971163	7533
1527359971165	7531.6
1527359971168	7531.6
1527359971169	7531.6
1527359971172	7531.6
1527359971173	7531.6
1527359971186	7531.4
1527359971189	7531.34609731
1527359971192	7530.8
1527359971195	7530.3
1527359971198	7529.8
1527359971201	7529
1527359971203	7528.8
1527359971214	7528.1
1527359971218	7527.6
1527359972314	7533.6
1527359972945	7533.5
1527359973396	7530.7
1527359973529	7530.7
1527359976319	7531.7
1527359983826	7534
1527359985335	7533.9
1527359985407	7534
1527359987027	7536
1527359988206	7537.5
1527359990637	7538.5
1527359994649	7539.1
1527359994651	7539.2
1527359994654	7539.27886477
1527359994657	7539.51218146
1527359994659	7541.2
1527359999323	7540.2
1527359999819	7540.2
1527359999821	7541.1
1527360044670	7543.5
1527360046296	7543.4
1527360050298	7542.6
1527360050299	7542.7
1527360057924	7542.6
1527360074858	7540.7
1527360081095	7541
1527360081833	7541.2
1527360091184	7541
1527360117094	7542.1
1527360129067	7543.7
1527360168819	7543.8
1527360175606	7543.8
1527360175608	7542.7
1527360175610	7541
1527360175612	7541
1527360181932	7542
1527360181935	7544
1527360213283	7543.5
1527360213286	7545.5
1527360260457	7540.8
1527360262781	7541.1
1527360290433	7540.3
1527360291150	7540.5
1527360291155	7541.7
1527360291156	7541.7
1527360292617	7542
1527360350048	7543.1
1527360386361	7543.5
1527360386363	7543.5
1527360386365	7543.5
1527360386366	7543.8
1527360396165	7542.8
1527360396167	7544
1527360454998	7542.1
1527360458788	7542.9
1527360470119	7543
1527360482678	7542.6
1527360488315	7543
1527360497079	7543
1527360505577	7542.9
1527360514967	7543
1527360514969	7543
1527360517435	7543
1527360520199	7542.9
1527360523006	7542.9
1527360527617	7542.9
1527360527875	7542.9
1527360527876	7542.9
1527360527878	7542.9
1527360531073	7542.9
1527360531075	7542.9
1527360547685	7542.9
1527360547687	7542.9
1527360547689	7542.9
1527360547691	7542.9
1527360547694	7543
1527360556183	7542.9
1527360556184	7542.9
1527360628424	7542.9
1527360628427	7542.9
1527360628429	7542.9
1527360628432	7541.9
1527360628435	7541.5
1527360628454	7540
1527360634175	7541.4
1527360634265	7541.5
1527360634676	7540.2
1527360639273	7540.6
1527360639275	7540.6
1527360639792	7540.6
1527360678935	7540.6
1527360679655	7540.6
1527360684597	7540.6
1527360718175	7540.6
1527360718178	7540.5
1527360718180	7540
1527360734600	7540.1
1527360734602	7540.1
1527360734604	7540.3
1527360734606	7540.5
1527360735194	7540.7
1527360750762	7540.4
1527360763623	7540.5
1527360812927	7540.6
1527360910281	7540.6
1527360934700	7540.6
1527360934702	7540.6
1527360934704	7540.6
1527360934706	7540.6
1527360934708	7541.4
1527360934711	7542.3
1527360934714	7542.8
1527360934716	7544
1527360934718	7544.29517361
1527360934721	7544.4
1527360934723	7544.7
1527360941988	7545.1
1527360941991	7545.1
1527360941992	7545.1
1527360941994	7545.1
1527360941998	7546.3
1527360942001	7546.3
1527360942010	7546.3
1527360942012	7547
1527360944322	7545.6
1527360944388	7545.9
1527361073997	7545.3
1527361088638	7545.2
1527361108580	7545.3
1527361159780	7545.2
1527361159781	7545.2
1527361160639	7545.2
1527361160803	7545.2
1527361160895	7545.2
1527361161018	7545.2
1527361161243	7545.2
1527361171998	7545.3
1527361172939	7545.3
1527361173029	7545.3
1527361173032	7545.3
1527361173034	7546
1527361173036	7547.4
1527361173039	7548.7
1527361173042	7549.73668812
1527361173045	7549.8
1527361173048	7550
1527361173051	7550
1527361173053	7550
1527361173055	7550.3
1527361185318	7550.4
1527361203222	7548.3
1527361204647	7550
1527361205162	7550
1527361206158	7550
1527361207114	7550.1
1527361208151	7550.1
1527361208603	7550.1
1527361209107	7550.1
1527361238262	7550.4
1527361238342	7551.4
1527361238419	7551.5
1527361238506	7552.2
1527361240695	7550.5
1527361253958	7550.6
1527361254736	7550.3
1527361310090	7551.1
1527361314509	7551.2
1527361314511	7551.5
1527361334819	7551.3
1527361378372	7551.9
1527361382595	7553.7
1527361412100	7553.6
1527361412188	7553.6
1527361440218	7553.6
1527361493151	7553.7
1527361493152	7553.7
1527361495233	7553.8
1527361521723	7553.7
1527361523322	7553.7
1527361523629	7553.7
1527361527988	7553.7
1527361542146	7553.6
1527361543350	7553.6
1527361543353	7553.6
1527361543639	7553.6
1527361543641	7553
1527361544268	7553.1
1527361549756	7553.1
1527361550115	7553.1
1527361551533	7553.1
1527361551536	7553.1
1527361551606	7553.1
1527361552408	7553.1
1527361586519	7553.1
1527361598163	7553.1
1527361598984	7553
1527361598987	7553
1527361600764	7551
1527361600918	7551
1527361614638	7550.9
1527361614718	7547.5
1527361641399	7546.7
1527361641478	7545.69507375
1527361713264	7548.9
1527361715940	7548.9
1527361755744	7548.8
1527361755746	7548.8
1527361755760	7548.8
1527361755762	7548.8
1527361755765	7548.8
1527361755768	7548.8
1527361755771	7548.8
1527361755773	7548.6
1527361755837	7548.6
1527361756187	7546.1
1527361756189	7546.1
1527361756191	7546.1
1527361756219	7546.1
1527361756230	7546.1
1527361756784	7547.2
1527361757032	7547.2
1527361757034	7545.7
1527361763708	7546.1
1527361763709	7546.1
1527361766564	7546.1
1527361766957	7545.7
1527361774734	7545.8
1527361775319	7545.8
1527361775322	7545.8
1527361776424	7545.8117321
1527361776908	7548.8
1527361787987	7548.7
1527361800261	7548.3
1527361800263	7548.9
1527361800270	7548.9
1527361800824	7548.9
1527361824255	7545.8117321
1527361825764	7547.6
1527361855872	7545.7
1527361856016	7545.7
1527361856572	7545.8
1527361858097	7545.8
1527361866930	7546.3
1527361872833	7546.2
1527361882065	7545.7
1527361884558	7545.7
1527361884568	7545.7
1527361897240	7542.4
1527361902133	7542.4
1527361906232	7542.3
1527361920831	7543.9
1527361946656	7545.69507375
1527361946775	7545.6
1527361954138	7545.7
1527362008930	7545.7
1527362009043	7545.7
1527362009127	7545.7
1527362013323	7545.7
1527362018444	7543.2
1527362044497	7542.6
1527362045771	7542.6
1527362047333	7543.5
1527362047336	7543.6
1527362049269	7543.6
1527362061826	7543.5
1527362071570	7543.5
1527362071649	7543.5
1527362072191	7543.5
1527362072193	7543.4785652
1527362072196	7543.2
1527362080069	7542.4
1527362081990	7542.31198175
1527362092826	7542.3
1527362092828	7542.3
1527362092830	7542.3
1527362092832	7542.3
1527362092833	7542.3
1527362092835	7542.3
1527362092837	7542.3
1527362092838	7542.3
1527362092840	7541.2
1527362097276	7541.26205664
1527362099438	7539.3
1527362099921	7539.3
1527362101171	7539.2
1527362101172	7539.2
1527362101175	7539
1527362101178	7539
1527362101180	7538.8
1527362101181	7538.7
1527362101183	7538.6
1527362101184	7538.5
1527362101186	7537
1527362101188	7536.6
1527362101202	7535.4
1527362101203	7534.7
1527362102125	7538.7
1527362102127	7538.7
1527362106763	7536.7
1527362108309	7536.7
1527362110677	7536.7
1527362113020	7536.7
1527362116832	7536.7
1527362122212	7536.7
1527362122222	7536.7
1527362139720	7536.7
1527362141362	7536.7
1527362142111	7536.7
1527362142289	7536.7
1527362143799	7536.7
1527362145265	7536.7
1527362147214	7536.7
1527362150480	7536.6
1527362150481	7536.6
1527362150483	7536.6
1527362150485	7534
1527362150499	7533.6
1527362150501	7533.32928918
1527362150503	7533.3
1527362150505	7533.2
1527362150507	7533.1
1527362150509	7533
1527362150511	7532
1527362150512	7531.6
1527362150513	7531.6
1527362150515	7531.6
1527362150516	7531.6
1527362150518	7531.6
1527362150520	7531.2
1527362150522	7531.1
1527362150524	7530.6
1527362150526	7530.3
1527362150527	7530.2
1527362151553	7534.6
1527362152106	7534.1
1527362152740	7533.5
1527362153471	7533.5
1527362158012	7533.5
1527362158362	7533.5
1527362166638	7532.8
1527362166640	7533.6
1527362167718	7532.8
1527362167720	7533
1527362168747	7532.6
1527362169773	7532.6
1527362169866	7532.6
1527362170244	7532.6
1527362170573	7532.6
1527362170902	7532.5
1527362170962	7532.6
1527362171086	7532.6
1527362171382	7532.6
1527362177778	7534.8
1527362186290	7533.1
1527362187804	7533.1
1527362200575	7533.6
1527362224637	7534.6
1527362227125	7534.7
1527362227127	7534.7
1527362248985	7536
1527362249262	7536
1527362249477	7536
1527362250634	7536
1527362272629	7536
1527362290142	7536
1527362308181	7536
1527362318183	7535.9
1527362339652	7535.9
1527362367974	7536
1527362370246	7535.9
1527362387518	7535.9
1527362415684	7535.9
1527362415686	7536
1527362416824	7535.9
1527362417028	7535.9
1527362417378	7535.9
1527362420043	7535.9
1527362430632	7536
1527362430634	7536
1527362447411	7536
1527362450038	7535.9
1527362470187	7535.9
1527362470188	7535.9
1527362470190	7535.9
1527362471997	7536
1527362480398	7535.9
1527362480400	7535.9
1527362480401	7535.9
1527362480403	7535.9
1527362480405	7535.9
1527362480406	7535.9
1527362480407	7535.9
1527362480409	7535.9
1527362480410	7535.9
1527362480413	7533
1527362480443	7531.9
1527362480445	7531.6
1527362480447	7530.5
1527362481322	7531.6
1527362483202	7534.7
1527362497576	7533.2
1527362506203	7533.2
1527362508247	7533.2
1527362512459	7533.8
1527362517489	7533.5
1527362517491	7533.4
1527362518583	7533.8
1527362519154	7533.7
1527362538402	7533.7
1527362542963	7533.7
